08/09/2020, 3000000TL Kazanan Numara, 290611, 100000TL Kazanan Numara, 577355
08/19/2020, 3000000TL Kazanan Numara, 562219, 100000TL Kazanan Numara, 696855
08/30/2020, 6000000TL Kazanan Numara, 402598, 100000TL Kazanan Numara, 303892
09/09/2020, 3000000TL Kazanan Numara, 617366, 100000TL Kazanan Numara, 453395
09/19/2020, 3000000TL Kazanan Numara, 165755, 100000TL Kazanan Numara, 612325
09/29/2020, 3000000TL Kazanan Numara, 600228, 100000TL Kazanan Numara, 050775
10/09/2020, 4000000TL Kazanan Numara, 065608, 100000TL Kazanan Numara, 325797
10/19/2020, 4000000TL Kazanan Numara, 186539, 100000TL Kazanan Numara, 697908
10/29/2020, 6000000TL Kazanan Numara, 167895, 100000TL Kazanan Numara, 027056
11/09/2020, 4000000TL Kazanan Numara, 616479, 100000TL Kazanan Numara, 191890
11/19/2020, 4000000TL Kazanan Numara, 397043, 100000TL Kazanan Numara, 630673
11/29/2020, 4000000TL Kazanan Numara, 684045, 100000TL Kazanan Numara, 045441
12/31/2020, 100000000TL KazananNumara, 9884757, 10000000TL Kazanan Numara, 3813252
01/09/2021, 6000000TL Kazanan Numara, 901137, 600000TL Kazanan Numara, 116354
01/19/2021, 6000000TL Kazanan Numara, 708342, 600000TL Kazanan Numara, 396442
01/29/2021, 6000000TL Kazanan Numara, 180486, 600000TL Kazanan Numara, 089593
02/09/2021, 4000000TL Kazanan Numara, 170247, 100000TL Kazanan Numara, 333418
02/19/2021, 4000000TL Kazanan Numara, 548962, 100000TL Kazanan Numara, 452635
03/18/2021, 20000000TL Kazanan Numara, 1026819, 2000000TL Kazanan Numara, 1898093
03/29/2021, 4000000TL Kazanan Numara, 313893, 100000TL Kazanan Numara, 075841
04/09/2021, 4000000TL Kazanan Numara, 156941, 100000TL Kazanan Numara, 271132
04/23/2021, 20000000TL Kazanan Numara, 1511299, 2000000TL Kazanan Numara, 0972525
05/19/2021, 20000000TL Kazanan Numara, 0751866, 2000000TL Kazanan Numara, 0146460
05/29/2021, 4000000TL Kazanan Numara, 337185, 100000TL Kazanan Numara, 546720
06/09/2021, 4000000TL Kazanan Numara, 385610, 100000TL Kazanan Numara, 093286
06/21/2021, 20000000TL Kazanan Numara, 1441487, 2000000TL Kazanan Numara, 1049424
07/09/2021, 4000000TL Kazanan Numara, 294523, 100000TL Kazanan Numara, 474587
07/23/2021, 20000000TL Kazanan Numara, 0712101, 2000000TL Kazanan Numara, 1184441
08/09/2021, 4000000TL Kazanan Numara, 552444, 100000TL Kazanan Numara, 194969
08/30/2021, 20000000TL Kazanan Numara, 1225878, 2000000TL Kazanan Numara, 1251883
09/09/2021, 4000000TL Kazanan Numara, 461314, 100000TL Kazanan Numara, 010642
09/29/2021, 20000000TL Kazanan Numara, 1456925, 2000000TL Kazanan Numara, 1837912
10/09/2021, 4000000TL Kazanan Numara, 216481, 100000TL Kazanan Numara, 534341
10/29/2021, 20000000TL Kazanan Numara, 0842729, 2000000TL Kazanan Numara, 1314339
11/09/2021, 4000000TL Kazanan Numara, 065856, 100000TL Kazanan Numara, 548947
12/31/2021, 120000000TL KazananNumara, 9876066, 12000000TL Kazanan Numara, 2683183
01/09/2022, 7000000TL Kazanan Numara, 152504, 700000TL Kazanan Numara, 418654
01/29/2022, 7000000TL Kazanan Numara, 988299, 700000TL Kazanan Numara, 136132
02/09/2022, 5000000TL Kazanan Numara, 465515, 125000TL Kazanan Numara, 166526
02/28/2022, 5000000TL Kazanan Numara, 514446, 125000TL Kazanan Numara, 061106
03/09/2022, 5000000TL Kazanan Numara, 331283, 125000TL Kazanan Numara, 206170
03/29/2022, 5000000TL Kazanan Numara, 043402, 125000TL Kazanan Numara, 290726
04/23/2022, 4000000TL Kazanan Numara, 143660, 1000000TL Kazanan Numara, 104340
05/19/2022, 4000000TL Kazanan Numara, 690934, 1000000TL Kazanan Numara, 081100
06/21/2022, 4000000TL Kazanan Numara, 018559, 1000000TL Kazanan Numara, 066982
07/09/2022, 6000000TL Kazanan Numara, 392660, 1000000TL Kazanan Numara, 041417
07/29/2022, 6000000TL Kazanan Numara, 464356, 1000000TL Kazanan Numara, 068346
08/09/2022, 6000000TL Kazanan Numara, 056042, 1000000TL Kazanan Numara, 213470
08/30/2022, 25000000TL Kazanan Numara, 1648968, 5000000TL Kazanan Numara, 1524694
09/09/2022, 6000000TL Kazanan Numara, 350763, 1000000TL Kazanan Numara, 042203
